Name,Rating,Reviews,Phone,Address,Category,Yelp URL,Suburb
"Baby Pizza",3,30,+61394214599,"631-633 Church St, Melbourne Victoria 3121, Australia","Pizza",https://www.yelp.com/biz/baby-pizza-melbourne,Richmond
"Vineyard Restaurant",3,24,+61395341942,"71a Acland St, St Kilda Victoria 3182, Australia","Restaurants",https://www.yelp.com/biz/vineyard-restaurant-st-kilda-2,St Kilda
"Sea Salt",3,13,+61393474777,"364 Lygon St, Carlton Victoria 3053, Australia","Sushi Bars, Seafood",https://www.yelp.com/biz/sea-salt-carlton-3,Carlton
"The Old Fire Station Cafe Gallery",3,12,+61394712100,"378 High St, Preston Victoria 3072, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/the-old-fire-station-cafe-gallery-preston-2,Preston
"Queensberry Hotel",3,10,+61393472648,"593 Swanston St, Carlton Victoria 3053, Australia","Venues & Event Spaces, Pub Food, Beer Gardens",https://www.yelp.com/biz/queensberry-hotel-carlton,Carlton
"iLOVEiSTANBUL",3,8,+61393495857,"95 Lygon St, Melbourne Victoria 3053, Australia","Turkish",https://www.yelp.com/biz/iloveistanbul-melbourne,Carlton
"Powell Hotel",3,6,+61393177007,"202 Ballarat Rd, Footscray Victoria 3011, Australia","Restaurants, Bars",https://www.yelp.com/biz/powell-hotel-footscray,Footscray
"Northern Perk Cafe",3,5,+61411388733,"710 Sydney Rd, Brunswick Victoria 3056, Australia","Cafes, Coffee & Tea, Breakfast & Brunch",https://www.yelp.com/biz/northern-perk-cafe-brunswick,Brunswick
"Afghan Master Kebab",3,5,+61393119277,"Shop 3, 20 Devonshire Rd, Sunshine Victoria 3020, Australia","Afghan",https://www.yelp.com/biz/afghan-master-kebab-sunshine,Sunshine
"Meddlers",3,5,+61398208882,"67 Toorak Rd, South Yarra Victoria 3141, Australia","Hair Salons",https://www.yelp.com/biz/meddlers-south-yarra,South Yarra
"Brow Theory Armadale",3,5,+61395090287,"Shop 10, King's Arcade, 974-978 High St, Armadale Victoria 3143, Australia","Hair Removal, Eyebrow Services, Eyelash Service",https://www.yelp.com/biz/brow-theory-armadale-armadale,St Kilda
"Chocolate Buddha",3.1,43,+61396545688,"Flinders St, Melbourne Victoria 3000, Australia","Sushi Bars, Japanese, Korean",https://www.yelp.com/biz/chocolate-buddha-melbourne,South Yarra
"Fonda Mexican",3.1,21,+61395212660,"144 Chapel St, Windsor Victoria 3181, Australia","Mexican",https://www.yelp.com/biz/fonda-mexican-windsor,St Kilda
"Europa Cake Shop",3.1,14,+61395342156,"81 Acland St, St Kilda Victoria 3182, Australia","Bakeries, Coffee & Tea, Restaurants",https://www.yelp.com/biz/europa-cake-shop-st-kilda,St Kilda
"Il Gusto Restaurant",3.1,10,+61396632792,"256 Lygon St, Carlton Victoria 3053, Australia","Italian",https://www.yelp.com/biz/il-gusto-restaurant-carlton,Carlton
